Number,Residence Hall,Room,Occupancy,Time
1,Minden,807,1,4/13/10 6:25:05
2,Gregorian Quad B,405C,1,4/13/10 6:25:34
3,Minden,209,1,4/13/10 6:25:49
4,Slater Hall,205,1,4/13/10 6:26:02
5,Minden,709,1,4/13/10 6:26:13
6,Hegeman,A202,1,4/13/10 6:26:39
7,Gregorian Quad A,409A,1,4/13/10 6:27:14
8,East Andrews,420,1,4/13/10 6:27:30
9,Slater Hall,207,1,4/13/10 6:27:44
10,Barbour Hall,304,1,4/13/10 6:28:22
10,Barbour Hall,204,1,4/13/10 6:28:23
10,Barbour Hall Apartments,240,4,4/13/10 6:28:34
11,Minden,409,1,4/13/10 6:28:44
12,Metcalf,300,1,4/13/10 6:29:05
13,Slater Hall,305,1,4/13/10 6:29:21
14,Minden,207,2,4/13/10 6:29:41
15,Slater Hall,307,1,4/13/10 6:30:33
16,Slater Hall,206,1,4/13/10 6:30:43
17,Slater Hall,105,1,4/13/10 6:31:00
18,Gregorian Quad B,403B,1,4/13/10 6:31:19
19,Slater Hall,306,1,4/13/10 6:31:44
20,West Andrews,217,1,4/13/10 6:32:03
21,Hegeman,E214,2,4/13/10 6:32:21
22,Miller,417,1,4/13/10 6:32:34
23,West Andrews,203,1,4/13/10 6:32:48
24,East Andrews,320,1,4/13/10 6:33:01
25,Metcalf,114,1,4/13/10 6:33:26
26,East Andrews,422,1,4/13/10 6:33:40
27,Woolley,118,1,4/13/10 6:34:05
28,Gregorian Quad A,408E,1,4/13/10 6:34:30
29,Hegeman,A302,1,4/13/10 6:34:44
30,Hegeman,E114,1,4/13/10 6:34:55
31,Goddard House,332,1,4/13/10 6:35:22
32,Gregorian Quad B,405B,1,4/13/10 6:35:36
33,Gregorian Quad B,403F,1,4/13/10 6:35:58
34,Emery,207,1,4/13/10 6:36:12
35,Hope College,314,1,4/13/10 6:36:28
36,East Andrews,220,1,4/13/10 6:36:44
36,East Andrews,222,1,4/13/10 6:36:47
37,East Andrews,322,1,4/13/10 6:37:02
38,Gregorian Quad A,409D,1,4/13/10 6:37:17
39,Gregorian Quad A,410D,1,4/13/10 6:37:33
39,Gregorian Quad A,410E,1,4/13/10 6:37:36
40,Miller,407,1,4/13/10 6:37:58
41,Gregorian Quad B,403C,1,4/13/10 6:38:24
42,Hegeman,A102,1,4/13/10 6:38:36
43,West Andrews,317,1,4/13/10 6:39:08
44,Hope College,316,1,4/13/10 6:39:23
45,No Show,,,4/13/10 6:39:41
46,West Andrews,403,1,4/13/10 6:40:01
46,East Andrews,408,1,4/13/10 6:40:13
46,East Andrews,460,1,4/13/10 6:40:18
46,East Andrews,308,1,4/13/10 6:40:32
47,West Andrews,219,1,4/13/10 6:40:56
48,Miller,105,2,4/13/10 6:41:16
48,Miller,418,1,4/13/10 6:41:22
49,Wayland House,323,1,4/13/10 6:41:50
50,West Andrews,417,1,4/13/10 6:42:02
51,Emery,120,1,4/13/10 6:42:30
52,Gregorian Quad A,409E,1,4/13/10 6:42:49
53,Young Orchard #2,340,4,4/13/10 6:43:03
54,Gregorian Quad B,402C,1,4/13/10 6:43:22
54,Hope College,206,1,4/13/10 6:43:26
55,No Show,,,4/13/10 6:43:48
56,Gregorian Quad A,411,3,4/13/10 6:44:06
57,West Andrews,303,1,4/13/10 6:44:36
58,East Andrews,256,1,4/13/10 6:44:57
59,Minden,814,2,4/13/10 6:45:11
60,Minden,407,2,4/13/10 6:45:20
61,Miller,403,1,4/13/10 6:45:36
61,Miller,401,1,4/13/10 6:45:37
61,West Andrews,419,1,4/13/10 6:45:44
62,Hope College,208,1,4/13/10 6:46:07
62,Gregorian Quad B,401A,1,4/13/10 6:46:19
62,Gregorian Quad B,401C,1,4/13/10 6:46:22
63,Miller,410,1,4/13/10 6:46:38
64,Young Orchard #10,330,4,4/13/10 6:46:50
65,Plantations House,304,1,4/13/10 6:47:23
66,Gregorian Quad A,409F,1,4/13/10 6:47:38
67,Gregorian Quad A,410F,1,4/13/10 6:47:52
68,Gregorian Quad B,401B,1,4/13/10 6:48:02
69,Young Orchard #2,310,4,4/13/10 6:48:28
69,Young Orchard #2,320,4,4/13/10 6:48:29
69,Young Orchard #2,330,4,4/13/10 6:48:31
70,Barbour Hall Apartments,140,4,4/13/10 6:48:51
71,Young Orchard #10,240,4,4/13/10 6:49:04
72,West Andrews,205,1,4/13/10 6:49:18
72,West Andrews,255,1,4/13/10 6:49:20
73,Metcalf,116,1,4/13/10 6:49:36
73,Metcalf,121,1,4/13/10 6:49:40
74,West Andrews,459,1,4/13/10 6:49:54
75,Gregorian Quad A,205,3,4/13/10 6:50:11
76,Gregorian Quad A,207,5,4/13/10 6:50:22
77,Young Orchard #2,240,4,4/13/10 6:50:39
78,Young Orchard #2,210,4,4/13/10 6:51:01
78,Young Orchard #2,220,4,4/13/10 6:51:01
78,Young Orchard #2,230,4,4/13/10 6:51:03
79,Young Orchard #2,440,4,4/13/10 6:51:14
80,Metcalf,324,1,4/13/10 6:51:31
81,Young Orchard #2,420,4,4/13/10 6:51:42
82,Young Orchard #2,410,4,4/13/10 6:52:01
83,Gregorian Quad A,408B,1,4/13/10 6:52:47
84,Plantations House,206,1,4/13/10 6:53:02
85,West Andrews,401,1,4/13/10 6:53:28
85,West Andrews,407,1,4/13/10 6:53:30
86,Young Orchard #4,340,4,4/13/10 6:54:23
86,Young Orchard #4,330,4,4/13/10 6:54:47
87,No Show,,,4/13/10 6:54:59
88,Minden,812,2,4/13/10 6:55:11
89,Gregorian Quad B,402A,1,4/13/10 6:55:28
89,Gregorian Quad B,402E,1,4/13/10 6:55:52
89,East Andrews,304,1,4/13/10 6:56:03
89,East Andrews,306,1,4/13/10 6:56:04
89,East Andrews,310,1,4/13/10 6:56:06
90,Young Orchard #2,430,4,4/13/10 6:56:26
91,West Andrews,355,1,4/13/10 6:56:50
