Number,Residence Hall,Room,Occupancy,Time
1,Minden,409,1,2007-04-10 06:35:00
2,Metcalf,104,1,2007-04-10 06:35:13
3,Minden,609,1,2007-04-10 06:35:21
4,East Andrews,208,1,2007-04-10 06:35:34
5,Hegeman,A202,1,2007-04-10 06:35:44
6,Pass,,,2007-04-10 06:36:06
7,Minden,209,1,2007-04-10 06:36:23
8,Minden,305,1,2007-04-10 06:36:31
9,Slater Hall,205,1,2007-04-10 06:36:41
10,Metcalf,107,1,2007-04-10 06:37:10
10,Metcalf,109,1,2007-04-10 06:37:13
11,East Andrews,306,1,2007-04-10 06:37:23
12,Minden,805,1,2007-04-10 06:37:36
13,Metcalf,220,1,2007-04-10 06:38:23
14,No Show,,,2007-04-10 06:38:43
15,Metcalf,204,1,2007-04-10 06:38:49
16,West Andrews,305,1,2007-04-10 06:39:03
17,Minden,705,1,2007-04-10 06:39:17
18,No Show,,,2007-04-10 06:40:15
19,West Andrews,401,1,2007-04-10 06:40:23
20,No Show,,,2007-04-10 06:40:25
21,Gregorian Quad B,401B,1,2007-04-10 06:40:51
22,Minden,814,2,2007-04-10 06:41:46
23,Gregorian Quad B,401C,1,2007-04-10 06:41:56
24,West Andrews,419,1,2007-04-10 06:42:08
25,Hope College,314,1,2007-04-10 06:42:18
26,Metcalf,200,1,2007-04-10 06:42:28
27,East Andrews,308,1,2007-04-10 06:42:33
28,West Andrews,317,1,2007-04-10 06:42:43
29,Metcalf,121,1,2007-04-10 06:42:51
30,Hegeman,E114,1,2007-04-10 06:43:04
31,Gregorian Quad A,305,3,2007-04-10 06:43:23
32,Gregorian Quad A,405,3,2007-04-10 06:43:34
33,Gregorian Quad B,402B,1,2007-04-10 06:43:50
34,West Andrews,217,1,2007-04-10 06:44:04
35,Gregorian Quad B,402A,1,2007-04-10 06:44:21
35,Gregorian Quad B,402C,1,2007-04-10 06:44:40
36,Young Orchard #2,330,4,2007-04-10 06:45:18
37,Metcalf,212,1,2007-04-10 06:45:32
38,Gregorian Quad B,403F,1,2007-04-10 06:46:32
39,Metcalf,201,1,2007-04-10 06:46:51
40,Wayland House,320,1,2007-04-10 06:47:05
41,East Andrews,406,1,2007-04-10 06:48:41
42,East Andrews,206,1,2007-04-10 06:50:02
43,Young Orchard #2,230,4,2007-04-10 06:50:17
44,East Andrews,320,1,2007-04-10 06:50:25
45,Emery,207,1,2007-04-10 06:50:42
46,Metcalf,411,1,2007-04-10 06:50:58
47,Gregorian Quad B,401F,1,2007-04-10 06:51:17
48,East Andrews,360,1,2007-04-10 06:52:32
49,Metcalf,206,1,2007-04-10 06:52:58
49,Metcalf,210,1,2007-04-10 06:53:04
50,East Andrews,222,1,2007-04-10 06:53:13
51,Gregorian Quad B,402F,1,2007-04-10 06:53:28
52,East Andrews,220,1,2007-04-10 06:53:41
53,West Andrews,219,1,2007-04-10 06:54:19
54,Metcalf,215,1,2007-04-10 06:54:32
55,Plantations House,303,1,2007-04-10 06:54:50
56,Morris Hall,120,2,2007-04-10 06:55:00
57,West Andrews,301,1,2007-04-10 06:55:23
57,West Andrews,303,1,2007-04-10 06:55:20
58,East Andrews,420,1,2007-04-10 06:55:46
59,East Andrews,204,1,2007-04-10 06:55:58
60,Barbour Hall Apartments,140,4,2007-04-10 06:56:10
61,Gregorian Quad A,207,5,2007-04-10 06:56:30
62,Wayland House,323,1,2007-04-10 06:56:58
63,Gregorian Quad A,205,3,2007-04-10 06:57:12
64,East Andrews,210,1,2007-04-10 06:57:21
65,Barbour Hall Apartments,340,4,2007-04-10 06:57:32
66,West Andrews,457,1,2007-04-10 06:57:56
67,Wayland House,318,1,2007-04-10 06:58:51
68,Metcalf,216,1,2007-04-10 06:59:11
69,Metcalf,214,1,2007-04-10 06:59:19
70,Gregorian Quad B,401A,1,2007-04-10 07:00:07
70,Gregorian Quad B,401D,1,2007-04-10 07:00:10
71,Minden,301,3,2007-04-10 07:00:23
72,Chapin House,320,1,2007-04-10 07:00:42
73,Gregorian Quad A,408C,1,2007-04-10 07:01:09
73,Gregorian Quad A,408D,1,2007-04-10 07:01:12
73,Gregorian Quad A,408E,1,2007-04-10 07:01:18
74,Gregorian Quad B,403A,1,2007-04-10 07:02:40
74,Gregorian Quad B,405B,1,2007-04-10 07:02:46
75,Metcalf,211,1,2007-04-10 07:03:08
76,No Show,,,2007-04-10 07:03:21
77,Barbour Hall Apartments,40,4,2007-04-10 07:03:46
78,Metcalf,203,1,2007-04-10 07:04:00
79,Gregorian Quad B,106,4,2007-04-10 07:04:09
80,Plantations House,206,1,2007-04-10 07:04:21
81,Young Orchard #2,410,4,2007-04-10 07:04:45
81,Young Orchard #2,430,4,2007-04-10 07:04:49
81,Young Orchard #2,440,4,2007-04-10 07:04:53
82,Young Orchard #2,310,4,2007-04-10 07:05:04
83,West Andrews,357,1,2007-04-10 07:05:22
83,West Andrews,359,1,2007-04-10 07:05:25
84,Grad Center B,330,4,2007-04-10 07:05:53
85,Hegeman,E214,2,2007-04-10 07:06:02
86,Gregorian Quad A,208,5,2007-04-10 07:06:25
87,Drop to 106,,,2007-04-10 07:07:07
88,Young Orchard #4,440,4,2007-04-10 07:07:19
89,Metcalf,110,1,2007-04-10 07:07:32
89,Metcalf,111,1,2007-04-10 07:07:33
89,Metcalf,112,1,2007-04-10 07:07:36
90,Gregorian Quad A,408B,1,2007-04-10 07:07:49
90,Gregorian Quad A,409B,1,2007-04-10 07:07:52
91,Metcalf,125,1,2007-04-10 07:08:28
92,Gregorian Quad B,308,4,2007-04-10 07:08:39
93,Metcalf,222,1,2007-04-10 07:09:26
93,Metcalf,322,1,2007-04-10 07:09:30
94,Young Orchard #4,210,4,2007-04-10 07:09:45
95,Young Orchard #4,240,4,2007-04-10 07:09:58
96,Emery,107,1,2007-04-10 07:10:25
97,Young Orchard #2,210,4,2007-04-10 07:10:41
98,Gregorian Quad B,405C,1,2007-04-10 07:10:57
99,Gregorian Quad A,213,4,2007-04-10 07:11:12
100,Drop to 113,,,2007-04-10 07:11:26
101,Metcalf,400,1,2007-04-10 07:11:48
102,Young Orchard #10,220,4,2007-04-10 07:18:23
102,Young Orchard #4,230,4,2007-04-10 07:18:27
103,Young Orchard #10,310,4,2007-04-10 07:18:36
104,No Show,,,2007-04-10 07:18:42
105,Gregorian Quad B,203,4,2007-04-10 07:18:52
106,Hope College,114,1,2007-04-10 07:19:01
106,Hope College,116,1,2007-04-10 07:19:05
107,Young Orchard #4,330,4,2007-04-10 07:19:14
108,West Andrews,257,1,2007-04-10 07:19:23
109,Young Orchard #10,340,4,2007-04-10 07:19:31
110,Gregorian Quad A,409D,1,2007-04-10 07:19:39
110,Gregorian Quad A,409E,1,2007-04-10 07:19:43
110,Gregorian Quad A,409F,1,2007-04-10 07:19:47
111,Young Orchard #10,240,4,2007-04-10 07:20:12
112,Gregorian Quad A,410A,1,2007-04-10 07:20:46
112,Gregorian Quad A,410D,1,2007-04-10 07:20:50
113,Gregorian Quad B,405A,2,2007-04-10 07:21:39
113,Young Orchard #2,320,4,2007-04-10 07:21:21
113,Young Orchard #2,340,4,2007-04-10 07:21:23
114,West Andrews,205,1,2007-04-10 07:22:27
114,West Andrews,255,1,2007-04-10 07:22:30
115,Minden,812,2,2007-04-10 07:22:44
116,Young Orchard #4,310,4,2007-04-10 07:23:11
117,Gregorian Quad B,304,4,2007-04-10 07:23:33
