Number,Residence Hall,Room,Occupancy,Time
1,Minden,807,1,2012-04-11 06:08:27
2,Slater Hall,207,1,2012-04-11 06:09:10
2,Slater Hall,307,1,2012-04-11 06:11:07
3,Slater Hall,105,1,2012-04-11 06:11:19
4,Minden,209,1,2012-04-11 06:11:25
5,Slater Hall,306,1,2012-04-11 06:11:51
6,Minden,709,1,2012-04-11 06:12:16
7,315 Thayer,413,1,2012-04-11 06:12:41
7,Emery,107,1,2012-04-11 06:12:46
8,Emery,207,1,2012-04-11 06:13:13
9,Minden,505,1,2012-04-11 06:13:53
10,Minden,605,1,2012-04-11 06:14:07
11,Minden,705,1,2012-04-11 06:14:20
12,Slater Hall,106,1,2012-04-11 06:15:00
12,Slater Hall,206,1,2012-04-11 06:15:03
13,Emery,220,1,2012-04-11 06:15:23
14,Minden,805,1,2012-04-11 06:15:42
15,Woolley,218,1,2012-04-11 06:16:16
16,Pass,,,2012-04-11 06:16:28
17,Woolley,206,1,2012-04-11 06:17:19
18,Gregorian Quad B,401C,1,2012-04-11 06:17:46
19,Gregorian Quad B,401B,1,2012-04-11 06:18:06
20,Goddard House,333,1,2012-04-11 06:18:36
21,Barbour Hall,304,1,2012-04-11 06:18:55
22,315 Thayer,417,1,2012-04-11 06:19:16
22,New Pembroke #4,227,1,2012-04-11 06:19:10
22,New Pembroke #4,320,1,2012-04-11 06:19:12
23,Woolley,129,1,2012-04-11 06:19:49
24,315 Thayer,420,1,2012-04-11 06:20:04
25,315 Thayer,419,1,2012-04-11 06:20:36
25,New Pembroke #3,212,1,2012-04-11 06:20:28
26,Emery,420,1,2012-04-11 06:20:53
27,315 Thayer,418,1,2012-04-11 06:21:10
28,Drop to 29,,,2012-04-11 06:21:26
29,315 Thayer,320,2,2012-04-11 06:21:42
30,Gregorian Quad B,405C,1,2012-04-11 06:22:07
31,Gregorian Quad A,410C,1,2012-04-11 06:22:27
32,Gregorian Quad B,402C,1,2012-04-11 06:22:57
32,Gregorian Quad B,403C,1,2012-04-11 06:22:51
32,Gregorian Quad B,403F,1,2012-04-11 06:22:54
33,Gregorian Quad B,402A,1,2012-04-11 06:23:30
33,Gregorian Quad B,405B,1,2012-04-11 06:23:27
34,Grad Center D,211,1,2012-04-11 06:24:00
35,Emery,120,1,2012-04-11 06:24:20
35,Emery,320,1,2012-04-11 06:24:23
36,315 Thayer,415,1,2012-04-11 06:24:36
37,Gregorian Quad A,410F,1,2012-04-11 06:24:57
38,New Pembroke #4,217,1,2012-04-11 06:26:06
38,New Pembroke #4,219,1,2012-04-11 06:26:08
39,315 Thayer,414,1,2012-04-11 06:26:41
40,Gregorian Quad A,410E,1,2012-04-11 06:27:23
40,New Pembroke #3,218,1,2012-04-11 06:27:04
41,Minden,301,3,2012-04-11 06:30:28
42,Gregorian Quad B,403A,1,2012-04-11 06:30:36
43,Gregorian Quad A,409E,1,2012-04-11 06:30:47
44,315 Thayer,130,3,2012-04-11 06:31:07
45,Plantations House,304,1,2012-04-11 06:31:21
46,No Show,,,2012-04-11 06:31:40
47,Gregorian Quad B,403D,1,2012-04-11 06:32:14
48,No Show,,,2012-04-11 06:32:42
49,Emery,217,1,2012-04-11 06:32:56
50,Gregorian Quad A,410D,1,2012-04-11 06:33:11
51,Gregorian Quad B,402F,1,2012-04-11 06:33:30
52,Plantations House,206,1,2012-04-11 06:33:51
53,Gregorian Quad B,402B,1,2012-04-11 06:34:08
54,315 Thayer,230,3,2012-04-11 06:34:26
54,Plantations House,204,1,2012-04-11 06:34:32
54,Woolley,113,1,2012-04-11 06:34:35
55,315 Thayer,220,2,2012-04-11 06:35:01
56,Woolley,229,1,2012-04-11 06:35:16
57,Woolley,429,1,2012-04-11 06:35:32
58,Gregorian Quad B,403B,1,2012-04-11 06:35:49
59,315 Thayer,330,3,2012-04-11 06:36:08
60,Olney House,314,1,2012-04-11 06:36:44
61,Gregorian Quad A,409D,1,2012-04-11 06:37:20
61,Woolley,419,1,2012-04-11 06:37:12
61,Woolley,423,1,2012-04-11 06:37:08
62,315 Thayer,310,4,2012-04-11 06:37:43
63,Gregorian Quad A,409A,1,2012-04-11 06:38:07
64,Gregorian Quad B,405F,1,2012-04-11 06:38:27
65,Barbour Hall Apartments,140,4,2012-04-11 06:38:42
66,Gregorian Quad B,405A,1,2012-04-11 06:39:12
67,315 Thayer,430,3,2012-04-11 06:39:27
68,Champlin,103,1,2012-04-11 06:40:48
68,Gregorian Quad A,408B,1,2012-04-11 06:40:18
68,Gregorian Quad A,408C,1,2012-04-11 06:40:22
68,Gregorian Quad A,408E,1,2012-04-11 06:40:28
68,Gregorian Quad A,409B,1,2012-04-11 06:40:33
69,Gregorian Quad A,213,4,2012-04-11 06:41:26
70,Plantations House,101,1,2012-04-11 06:41:43
71,Gregorian Quad B,401A,1,2012-04-11 06:42:00
72,Gregorian Quad A,305,3,2012-04-11 06:42:11
73,No Show,,,2012-04-11 06:42:29
74,Gregorian Quad A,409F,1,2012-04-11 06:42:40
75,Machado,235,1,2012-04-11 06:43:07
76,Gregorian Quad B,403E,1,2012-04-11 06:43:35
76,Gregorian Quad B,405E,1,2012-04-11 06:43:24
77,Gregorian Quad B,402D,1,2012-04-11 06:44:10
77,Gregorian Quad B,402E,1,2012-04-11 06:44:13
78,No Show,,,2012-04-11 06:44:27
79,Gregorian Quad B,401D,1,2012-04-11 06:44:47
80,Gregorian Quad B,405D,1,2012-04-11 06:45:05
81,Gregorian Quad B,401F,1,2012-04-11 06:45:22
82,Young Orchard #2,220,4,2012-04-11 06:45:54
82,Young Orchard #2,230,4,2012-04-11 06:45:55
82,Young Orchard #2,240,4,2012-04-11 06:45:58
83,No Show,,,2012-04-11 06:46:18
84,Gregorian Quad B,401E,1,2012-04-11 06:46:30
85,New Pembroke #4,209,1,2012-04-11 06:47:09
85,Woolley,318,1,2012-04-11 06:46:57
85,Woolley,329,1,2012-04-11 06:46:53
85,Woolley,418,1,2012-04-11 06:47:04
86,Young Orchard #2,330,4,2012-04-11 06:47:32
87,No Show,,,2012-04-11 06:47:55
88,Barbour Hall Apartments,240,4,2012-04-11 06:48:02
89,Olney House,316,1,2012-04-11 06:48:15
90,Gregorian Quad A,409C,1,2012-04-11 06:48:34
91,Sears House,327,1,2012-04-11 06:48:51
92,315 Thayer,120,2,2012-04-11 06:49:12
93,Woolley,207,1,2012-04-11 06:49:34
94,315 Thayer,440,4,2012-04-11 06:49:59
94,Young Orchard #2,420,4,2012-04-11 06:50:11
95,Woolley,215,1,2012-04-11 06:50:36
95,Woolley,219,1,2012-04-11 06:50:31
95,Woolley,223,1,2012-04-11 06:50:33
96,Minden,715,3,2012-04-11 06:51:15
97,Champlin,423,1,2012-04-11 06:51:24
98,Sears House,114B,1,2012-04-11 06:51:36
99,Champlin,305,1,2012-04-11 06:51:50
99,Champlin,323,1,2012-04-11 06:51:53
100,Gregorian Quad A,313,4,2012-04-11 06:52:13
101,Emery,117,1,2012-04-11 06:52:30
102,Machado,237,1,2012-04-11 06:52:48
103,Emery,411,1,2012-04-11 06:53:00
103,Emery,417,1,2012-04-11 06:53:01
103,Gregorian Quad B,303,4,2012-04-11 06:53:13
104,Gregorian Quad B,305,4,2012-04-11 06:53:49
105,Gregorian Quad A,411,3,2012-04-11 06:54:04
106,Gregorian Quad A,410B,1,2012-04-11 06:54:18
107,Young Orchard #2,340,4,2012-04-11 06:54:40
108,Goddard House,316,1,2012-04-11 06:54:58
109,Hegeman,D211,3,2012-04-11 06:55:18
